[WARN] | 38:52 | 'report edit:  | Operator ID Array: 00154,00155,null | documentID: hKWhg5NP7cMCcMdzP' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
[WARN] | 39:49 | 'report edit:  | Operator ID Array: 00154,00258,null | documentID: hKWhg5NP7cMCcMdzP' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
[WARN] | 40:6 | 'report edit:  | Actual Number: 4 | documentID: hKWhg5NP7cMCcMdzP' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
[WARN] | 40:6 | 'report edit:  | Status: red | documentID: hKWhg5NP7cMCcMdzP' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
[WARN] | 40:6 | 'report edit:  | Operator ID Array: 00154,00258,null | documentID: hKWhg5NP7cMCcMdzP' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
[WARN] | 40:13 | 'report edit:  | Actual Number: 5 | documentID: hKWhg5NP7cMCcMdzP' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
[WARN] | 40:13 | 'report edit:  | Status: green | documentID: hKWhg5NP7cMCcMdzP' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
[WARN] | 40:13 | 'report edit:  | Operator ID Array: 00154,00258,null | documentID: hKWhg5NP7cMCcMdzP' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
[WARN] | 42:19 | 'report edit:  | Operator ID Array: 00154,00188,null | documentID: hKWhg5NP7cMCcMdzP' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
[WARN] | 44:23 | 'report edit:  | Operator ID Array: 00154,00155,null | documentID: hKWhg5NP7cMCcMdzP' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
[WARN] | 46:36 | 'report edit:  | Operator ID Array: 00131,00155,null | documentID: jdBDWG88RTibbx4hH' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
[WARN] | 46:54 | 'report edit:  | Operator ID Array: 00131,null,null | documentID: jdBDWG88RTibbx4hH' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
[WARN] | 48:53 | 'report edit:  | Operator ID Array: 00131,00188,null | documentID: jdBDWG88RTibbx4hH' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
[WARN] | 49:38 | 'report edit:  | Operator ID Array: 00131,null,null | documentID: jdBDWG88RTibbx4hH' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
